"","Player","Tm","Pos","MP","FG","FGP","X3P","X3PP","FTP","AST","ORB","DRB","STL","BLK"
"1","MEANS","MEANS","MEANS","19.7245472837022","3.27444668008048","0.437321931589537","1.01871227364185","0.300738430583501","0.692213279678068","2.03501006036217","0.808450704225352","2.82655935613682","0.609657947686117","0.421931589537223"
"2","SD","SD","SD","9.89214625378781","2.4782544068181","0.128346592334987","0.942944914939972","0.163416842791726","0.251333056374446","1.98680669838649","0.769719925815937","1.94000198313157","0.427090781907236","0.439783088198502"
"3","Precious Achiuwa","MIA","PF","-0.518042005468729","-0.272145861306637","1.18957633103316","-1.08035183975376","-1.8403147768972","-0.522069327333455","-0.722269590457674","0.638607991411401","-0.0652367148267176","-0.490897852559258","0.177515717538323"
"4","Jaylen Adams","MIL","PG","-1.71090750677302","-1.24056943936916","-2.43342597499099","-1.08035183975376","-1.8403147768972","-2.75416727772881","-0.87326565879368","-1.05031801452763","-1.19925617415157","-1.42746688412145","-0.959408401231605"
"5","Steven Adams","NOP","C","0.846677000260761","0.0910129804668081","1.29086456754566","-1.08035183975376","-1.8403147768972","-0.892096260286696","0.0327107512223539","4.5361295435784","0.914143727317471","0.913955694784031","0.404900541292308"
"6","Bam Adebayo","MIA","C","1.40267363222463","1.66470129481841","1.05712248328604","-0.974301106125946","0.607413334640219","0.591990255751568","1.64333548013975","1.4181123018448","2.30589488194342","0.913955694784031","1.31443983630825"
"7","LaMarcus Aldridge","SAS","C","0.705150584851776","1.05943655852933","0.301356410846594","0.298307697407813","0.35040188292879","0.277666301952579","-0.0679532943349832","-0.0109789339497662","0.347133997655046","-0.490897852559258","1.08705501255427"
"8","Ty-Shon Alexander","PHO","SG","-1.72101653644509","-1.3212714042077","-3.40735132607275","-1.08035183975376","-1.8403147768972","-2.75416727772881","-0.87326565879368","-1.05031801452763","-1.30234885227201","-1.42746688412145","-0.959408401231605"
"9","Nickeil Alexander-Walker","NOP","SG","-0.0530266405534957","0.0103110156282646","-0.212876174524576","-0.0198445034756269","-0.151382379936381","0.353263202233349","-0.0176212715563146","-0.790483244383166","-0.219875732007379","1.14809795267458","-0.277253929969648"
"10","Grayson Allen","MEM","SG","0.422097754033808","-0.030039966791007","-0.0648395211601478","1.35881503368595","0.827708864678587","0.794908251242055","0.0327107512223539","-0.5306484742387","-0.168329392947159","0.913955694784031","-0.504638753723634"
"11","Jarrett Allen","TOT","C","0.654605436491425","0.454171822240254","1.59472927708317","-1.08035183975376","-0.310484707186314","0.261751165051365","-0.218949362670989","2.71728615256713","1.68733881322078","-0.25675559466871","2.67874877883216"
"12","Jarrett Allen","BRK","C","0.705150584851776","0.171714945305352","1.86742837538607","-1.08035183975376","-1.8403147768972","0.24583602815015","-0.16861733989232","3.10703830778383","2.30589488194342","-0.0226133367781616","2.67874877883216"
"13","Jarrett Allen","CLE","C","0.624278347475214","0.655926734336613","1.4544840265274","-0.974301106125946","-0.310484707186314","0.273687517727276","-0.218949362670989","2.5873687674949","1.22342176167879","-0.490897852559258","2.90613360258615"
"14","Al-Farouq Aminu","ORL","PF","-1.18523796382537","-1.11951649211134","4.38405148258134","-0.550098171614693","4.27900550194635","-2.75416727772881","-0.520941499343","-0.400731089166466","-0.683792783549363","-1.42746688412145","-0.959408401231605"
"15","Kyle Anderson","MEM","PF","0.846677000260761","0.696277716755884","0.231233785568708","0.722510631919066","0.533981491294096","0.353263202233349","0.888355138459719","0.118938451122467","1.27496810073901","1.14809795267458","0.85967018880028"
"16","Giannis Antetokounmpo","MIL","PF","1.40267363222463","2.83487978497729","0.9792084551995","0.0862062301521864","-0.0657118960325717","-0.199787805083859","1.89499559403309","1.15827753170033","3.54300701938871","1.61638246845568","1.99659430757021"
"17","Kostas Antetokounmpo","LAL","PF","-1.18523796382537","-1.3212714042077","-3.40735132607275","-1.08035183975376","-1.8403147768972","-2.75416727772881","-1.02426172712969","-1.05031801452763","0.604865692956148","-1.42746688412145","3.58828807384811"
"18","Thanasis Antetokounmpo","MIL","SF","-1.15491087480916","-0.958112562434257","1.68822611078702","-0.974301106125946","-0.0901891771479459","-0.482281485080419","-0.621605544900337","-0.140896319022","-0.941524478850466","-0.725040110449806","-0.504638753723634"
"19","Carmelo Anthony","POR","PF","0.563624169442792","0.534873787078797","-0.321955813845732","0.722510631919066","0.466668968226817","0.595969039976872","-0.369945431006994","-0.270813704094233","0.0378559632937232","0.445671179002935","0.85967018880028"
"20","Cole Anthony","ORL","PG","0.705150584851776","0.292767892563167","-0.485575272827468","0.0862062301521864","0.148464313726953","0.57209633462505","0.888355138459719","-0.0109789339497662","0.398680336715267","0.211528921112387","-0.0498691062156627"
"21","OG Anunoby","TOR","SF","1.48354586960119","0.736628699175156","0.402644647359097","1.46486576731376","0.797112263284369","0.229920891248935","-0.218949362670989","1.0283601466281","0.75950471013681","3.25537827368951","0.404900541292308"
"22","Ryan Arcidiacono","CHI","PG","-1.01338445940017","-0.998463544853529","-0.485575272827468","-0.550098171614693","0.45443032766913","0.428860102514118","-0.269281385449657","-0.9204006294554","-0.477607427308481","-0.725040110449806","-0.959408401231605"
"23","D.J. Augustin","MIL","PG","-0.19455305596248","-0.635304703080083","-0.789439982364978","0.19225696378","0.387117804601851","0.806844603917966","0.485698956230371","-0.5306484742387","-1.04461715697091","-0.25675559466871","-0.959408401231605"
"24","Deni Avdija","WAS","SF","0.321007457313105","-0.312496843725909","-0.103796535203418","0.19225696378","0.332043922092259","-0.45045121127799","-0.218949362670989","-0.400731089166466","0.81105104919703","0.445671179002935","-0.504638753723634"
