"","Player","Tm","Pos","MP","FG","FGP","X3P","X3PP","FTP","AST","ORB","DRB","STL","BLK"
"1","MINIMUM","MINIMUM","MINIMUM","1","0","0","0","0","0","0","0","0","0","0"
"2","MAXIMUM","MAXIMUM","MAXIMUM","37.5","10.9","100","4.4","100","100","10.2","4.6","11.4","2.1","2.9"
"3","Steven Adams","OKC","C","26.7","4.5","59.2","0","33.3","58.2","2.3","3.3","6","0.8","1.1"
"4","Bam Adebayo","MIA","PF","33.6","6.1","55.7","0","14.3","69.1","5.1","2.4","7.8","1.1","1.3"
"5","LaMarcus Aldridge","SAS","C","33.1","7.4","49.3","1.2","38.9","82.7","2.4","1.9","5.5","0.7","1.6"
"6","Kyle Alexander","MIA","PF","6.5","0.5","50","0","0","0","0","1","0.5","0","0"
"7","Nickeil Alexander-Walker","NOP","SG","12.6","2.1","36.8","1","34.6","67.6","1.9","0.2","1.6","0.4","0.2"
"8","Grayson Allen","MEM","SG","18.9","3.1","46.6","1.5","40.4","86.7","1.4","0.2","2","0.3","0.1"
"9","Jarrett Allen","BRK","C","26.5","4.3","64.9","0","0","63.3","1.6","3.1","6.5","0.6","1.3"
"10","Kadeem Allen","NYK","SG","11.7","1.9","43.2","0.5","31.3","63.6","2.1","0.2","0.7","0.5","0.2"
"11","Al-Farouq Aminu","ORL","PF","21.1","1.4","29.1","0.5","25","65.5","1.2","1.3","3.5","1","0.4"
"12","Justin Anderson","BRK","SF","10.7","1","26.3","0.6","20.7","50","0.8","0.1","2","0","0.6"
"13","Kyle Anderson","MEM","PF","19.9","2.3","47.4","0.4","28.2","66.7","2.4","0.9","3.4","0.8","0.6"
"14","Ryan Anderson","HOU","C","7","1","28.6","0.5","20","0","1","0","3.5","0.5","0"
"15","Giannis Antetokounmpo","MIL","PF","30.4","10.9","55.3","1.4","30.4","63.3","5.6","2.2","11.4","1","1"
"16","Kostas Antetokounmpo","LAL","PF","4","0.6","100","0","0","50","0.4","0.4","0.2","0","0"
"17","Thanasis Antetokounmpo","MIL","SF","6.5","1.2","50","0","0","41.2","0.8","0.6","0.6","0.4","0.1"
"18","Carmelo Anthony","POR","PF","32.8","5.8","43","1.5","38.5","84.5","1.5","1.2","5.1","0.8","0.5"
"19","OG Anunoby","TOR","SF","29.9","4.1","50.5","1.3","39","70.6","1.6","1.2","4.1","1.4","0.7"
"20","Ryan Arcidiacono","CHI","PG","16","1.6","40.9","0.9","39.1","71.1","1.7","0.3","1.6","0.5","0.1"
"21","Trevor Ariza","TOT","SF","28.2","2.7","43.8","1.5","37.2","83.8","1.7","0.6","4","1.3","0.3"
"22","Trevor Ariza","SAC","SF","24.7","2","38.8","1.3","35.2","77.8","1.6","0.7","3.9","1.1","0.2"
"23","Trevor Ariza","POR","SF","33.4","3.7","49.1","1.6","40","87.2","2","0.6","4.1","1.6","0.4"
"24","D.J. Augustin","ORL","PG","24.9","3.2","39.9","1.2","34.8","89","4.6","0.4","1.8","0.6","0"
"25","Deandre Ayton","PHO","C","32.5","8.2","54.6","0.1","23.1","75.3","1.9","3.9","7.6","0.7","1.5"
"26","Dwayne Bacon","CHO","SG","17.6","2.2","34.8","0.5","28.4","66","1.3","0.4","2.2","0.6","0.1"
"27","Marvin Bagley III","SAC","PF","25.7","6","46.7","0.3","18.2","80.6","0.8","2.2","5.2","0.5","0.9"
"28","Lonzo Ball","NOP","PG","32.1","4.4","40.3","2.3","37.5","56.6","7","1.1","5","1.4","0.6"
"29","Mo Bamba","ORL","C","14.2","2.1","46.2","0.6","34.6","67.4","0.7","1.6","3.3","0.4","1.4"
"30","J.J. Barea","DAL","PG","15.5","2.9","41.1","1.1","37.6","90.9","3.9","0.3","1.5","0.2","0.1"
"31","Harrison Barnes","SAC","PF","34.5","5.1","46","1.4","38.1","80.1","2.2","1.1","3.9","0.6","0.2"
"32","RJ Barrett","NYK","SG","30.4","5.2","40.2","1.1","32","61.4","2.6","0.9","4.1","1","0.3"
"33","Will Barton","DEN","SF","33","5.7","45","1.9","37.5","76.7","3.7","1.3","5","1.1","0.5"
"34","Keita Bates-Diop","TOT","SF","16.9","2.3","42.7","0.8","33","72","0.7","0.6","2.3","0.4","0.5"
"35","Keita Bates-Diop","MIN","SF","17.5","2.4","42.2","0.8","33","70.8","0.8","0.6","2.4","0.5","0.5"
"36","Keita Bates-Diop","DEN","SF","14","1.9","46.4","0.4","33.3","80","0","0.6","1.9","0.3","0.6"
"37","Nicolas Batum","CHO","SF","23","1.3","34.6","0.6","28.6","90","3","1.1","3.4","0.8","0.4"
"38","Aron Baynes","PHO","C","22.2","4.4","48","1.4","35.1","74.7","1.6","1.7","4","0.2","0.5"
"39","Kent Bazemore","TOT","SF-SG","24.8","2.9","37.5","1.2","34.4","76.9","1.4","0.4","3.9","1.1","0.6"
"40","Kent Bazemore","POR","SF","25.8","2.6","34.7","1.3","32.7","80.6","1.4","0.3","3.7","1","0.7"
"41","Kent Bazemore","SAC","SG","23.1","3.5","41.8","1.1","38.4","73.3","1.3","0.6","4.3","1.2","0.4"
"42","Darius Bazley","OKC","PF","18.5","2","39.4","0.8","34.8","69.4","0.7","0.5","3.5","0.4","0.7"
"43","Bradley Beal","WAS","SG","36","10.4","45.5","3","35.3","84.2","6.1","0.9","3.3","1.2","0.4"
"44","Malik Beasley","TOT","SG","22","4.1","42.5","1.9","38.8","81.8","1.4","0.3","2.4","0.7","0.1"
"45","Malik Beasley","DEN","SG","18.2","2.9","38.9","1.4","36","86.8","1.2","0.2","1.7","0.8","0.1"
"46","Malik Beasley","MIN","SG","33.1","7.9","47.2","3.5","42.6","75","1.9","0.6","4.4","0.6","0.1"
"47","Marco Belinelli","SAS","SG","15.5","2.2","39.2","1.2","37.6","82.8","1.2","0.1","1.6","0.2","0"
"48","Jordan Bell","TOT","C-PF","8.8","1.2","52.2","0.1","33.3","61.3","0.6","1","1.8","0.1","0.3"
"49","Jordan Bell","MIN","C","8.7","1.2","53.3","0.1","22.2","58.6","0.5","1","1.9","0.1","0.4"
"50","Jordan Bell","MEM","PF","10.5","1.5","42.9","1","66.7","100","1","1","0.5","0.5","0"
"51","DeAndre' Bembry","ATL","SG","21.3","2.4","45.6","0.3","23.1","54.2","1.9","0.8","2.7","1.3","0.4"
"52","Dragan Bender","TOT","SF","17.9","2.6","44.6","0.9","34.9","71.4","1.8","1","3.6","0.3","0.6"
"53","Dragan Bender","MIL","SF","13","1.4","47.6","0.6","44.4","66.7","1.3","0","2.9","0","0.7"
"54","Dragan Bender","GSW","SF","21.7","3.4","43.7","1.2","32.4","72.7","2.1","1.8","4.1","0.4","0.4"
"55","Dāvis Bertāns","WAS","PF","29.3","4.9","43.4","3.7","42.4","85.2","1.7","0.6","3.9","0.7","0.6"
"56","Patrick Beverley","LAC","PG","26.3","2.9","43.1","1.6","38.8","66","3.6","1.1","4.1","1.1","0.5"
"57","Khem Birch","ORL","C","19.2","1.5","51","0","0","65.3","1","1.9","2.7","0.4","0.5"
"58","Goga Bitadze","IND","C","8.7","1.3","46.7","0.1","19","72.7","0.4","0.5","1.5","0.2","0.7"
"59","Bismack Biyombo","CHO","C","19.4","2.8","54.3","0","0","60.3","0.9","2.3","3.5","0.2","0.9"
"60","Nemanja Bjelica","SAC","PF","27.9","4.4","48.1","1.9","41.9","82.1","2.8","1.5","4.8","0.9","0.6"
"61","Eric Bledsoe","MIL","PG","27","5.5","47.5","1.2","34.4","79","5.4","0.7","3.9","0.9","0.4"
"62","Bogdan Bogdanović","SAC","SG","29","5.5","44","2.7","37.2","74.1","3.4","0.4","3","1","0.2"
"63","Bojan Bogdanović","UTA","SF","33.1","6.6","44.7","3","41.4","90.3","2.1","0.6","3.5","0.5","0.1"
"64","Bol Bol","DEN","SF","12.4","2","50","0.6","44.4","80","0.9","0.7","2","0.3","0.9"
"65","Jonah Bolden","TOT","PF","6.7","0.6","36.4","0","0","50","0","0.4","0.9","0.4","0.3"
"66","Jonah Bolden","PHI","PF","3.5","0.5","66.7","0","0","0","0","0","0.3","0.3","0"
"67","Jonah Bolden","PHO","PF","11","0.7","25","0","0","100","0","1","1.7","0.7","0.7"
"68","Marques Bolden","CLE","C","3","0","0","0","0","0","0","0","2","1","0"
"69","Jordan Bone","DET","PG","5.3","0.5","25","0.2","20","0","0.8","0","0.4","0.1","0"
"70","Isaac Bonga","WAS","SF","18.9","1.8","50.4","0.4","35.2","81.2","1.2","1.1","2.3","0.7","0.3"
"71","Devin Booker","PHO","SG","35.9","9","48.9","2","35.4","91.9","6.5","0.4","3.8","0.7","0.3"
"72","Chris Boucher","TOR","PF","13.2","2.3","47.2","0.6","32.2","78.4","0.4","1.7","2.7","0.4","1"
"73","Brian Bowen","IND","SG","5.2","0.5","30","0","0","0","0","0.2","1","0","0.2"
"74","Ky Bowman","GSW","PG","22.6","3","41.7","0.7","30.8","82.9","2.9","0.5","2.2","1","0.2"
"75","Avery Bradley","LAL","SG","24.2","3.5","44.4","1.3","36.4","83.3","1.3","0.4","2","0.9","0.1"
"76","Tony Bradley","UTA","C","11.4","2.2","66.7","0.1","100","65.2","0.4","1.9","2.7","0.2","0.6"
"77","Jarrell Brantley","UTA","PF","10.7","1.1","35.7","0.3","23.1","50","1.2","0.2","2","0.3","0.6"
"78","Ignas Brazdeikis","NYK","SF","5.9","0.7","27.3","0.1","11.1","80","0.4","0.2","0.3","0","0.1"
"79","Corey Brewer","SAC","SG","6.6","0.4","50","0","0","33.3","0.4","0.4","1.2","0.8","0"
"80","Mikal Bridges","PHO","SF","28","3.4","51","1","36.1","84.4","1.8","0.9","3.1","1.4","0.6"
"81","Miles Bridges","CHO","SF","30.7","4.9","42.4","1.5","33","80.9","1.8","1.4","4.2","0.6","0.7"
"82","Oshae Brissett","TOR","SF","7.1","0.7","36.1","0.2","20","80","0.4","0.5","0.9","0.2","0.1"
"83","Ryan Broekhoff","DAL","SG","10.6","1.3","37.3","1.2","39.2","87.5","0.6","0.3","2.2","0.3","0.2"
"84","Malcolm Brogdon","IND","PG","30.9","6","43.8","1.4","32.6","89.2","7.1","0.9","4","0.6","0.2"
"85","Dillon Brooks","MEM","SG","28.9","6","40.7","2","35.8","80.8","2.1","0.9","2.4","0.9","0.4"
"86","Bruce Brown","DET","SG","28.2","3.4","44.3","0.6","34.4","73.9","4","1.1","3.7","1.1","0.5"
"87","Charlie Brown","ATL","SG","4","0.6","31.6","0.3","33.3","100","0.2","0.2","0.2","0.2","0.2"
"88","Jaylen Brown","BOS","SF","33.9","7.5","48.1","2.3","38.2","72.4","2.1","1.1","5.3","1.1","0.4"
"89","Moses Brown","POR","C","3.7","0.4","40","0","0","37.5","0.1","0.3","1.2","0.1","0.1"
"90","Sterling Brown","MIL","SF","14.8","1.8","37.1","0.8","32.4","80","1","0.6","2.9","0.6","0.1"
"91","Troy Brown Jr.","WAS","SG","25.8","4","43.9","0.9","34.1","78.4","2.6","1.1","4.4","1.2","0.1"
"92","Jalen Brunson","DAL","PG","17.9","3.2","46.6","0.8","35.8","81.3","3.3","0.4","2","0.4","0.1"
"93","Thomas Bryant","WAS","C","24.9","5.3","58.1","0.8","40.7","74.1","1.8","2.1","5.1","0.5","1.1"
"94","Reggie Bullock","NYK","SG","23.6","3.1","40.2","1.3","33.3","81","1.4","0.4","1.9","0.9","0.1"
"95","Trey Burke","TOT","PG","15.8","2.8","45","1","42.7","79.3","2.5","0.5","1","0.5","0.1"
"96","Trey Burke","PHI","PG","13.2","2.4","46.5","0.6","42.1","72.2","2.1","0.6","0.8","0.3","0"
"97","Trey Burke","DAL","PG","23.9","4.4","42.7","2","43.2","90.9","3.8","0.1","1.8","1.1","0.1"
"98","Alec Burks","TOT","SG","26.6","4.9","41.8","1.8","38.5","88.7","2.9","0.7","3.5","0.9","0.3"
"99","Alec Burks","GSW","SG","29","5.1","40.6","1.8","37.5","89.7","3.1","0.8","3.9","1","0.4"
"100","Alec Burks","PHI","SG","20.2","4.3","46.1","1.8","41.6","82.9","2.1","0.6","2.5","0.7","0"
"101","Deonte Burton","OKC","SG","9.1","1.1","34.4","0.3","18.9","57.1","0.4","0.2","1.3","0.2","0.3"
"102","Jimmy Butler","MIA","SF","33.8","5.9","45.5","0.5","24.4","83.4","6","1.8","4.8","1.8","0.6"
"103","Bruno Caboclo","TOT","C","8.1","1.3","42.7","0.2","18.2","88.9","0.4","0.8","1.2","0.5","0.6"
"104","Bruno Caboclo","MEM","C","8.7","1.3","40.6","0.2","16","66.7","0.5","0.8","1.2","0.5","0.5"
"105","Bruno Caboclo","HOU","C","6.5","1.3","50","0.3","25","100","0.3","0.8","1.3","0.6","0.6"
"106","Devontae Cacok","LAL","C","9","3","50","0","0","0","1","2","3","0","0"
"107","Kentavious Caldwell-Pope","LAL","SG","25.5","3.4","46.7","1.3","38.5","77.5","1.6","0.6","1.5","0.8","0.2"
"108","Vlatko Čančar","DEN","SF","3.2","0.4","40","0.1","16.7","100","0.2","0.4","0.4","0.1","0.1"
"109","Clint Capela","HOU","C","32.8","6.3","62.9","0","0","52.9","1.2","4.3","9.5","0.8","1.8"
"110","DeMarre Carroll","TOT","SF-PF","12.1","1","37.9","0.3","24.2","69","1","0.5","1.8","0.3","0.2"
"111","DeMarre Carroll","SAS","SF","9","0.6","31","0.2","23.1","60","0.7","0.5","1.6","0.1","0.1"
