"","Player","Tm","Pos","MP","FG","FGP","X3P","X3PP","FTP","AST","ORB","DRB","STL","BLK"
"112","DeMarre Carroll","HOU","PF","17.2","1.8","43.2","0.6","25","77.3","1.6","0.6","2.1","0.7","0.3"
"113","Jevon Carter","PHO","PG","16.3","1.7","41.6","1.1","42.5","85.2","1.4","0.5","1.5","0.8","0.3"
"114","Vince Carter","ATL","SF","14.6","1.8","35.2","1","30.2","79.3","0.8","0.3","1.8","0.4","0.4"
"115","Wendell Carter Jr.","CHI","C","29.2","4.3","53.4","0.1","20.7","73.7","1.2","3.2","6.2","0.8","0.8"
"116","Michael Carter-Williams","ORL","SG","18.5","2.5","42.7","0.5","29.3","83.2","2.4","1","2.2","1.1","0.5"
"117","Alex Caruso","LAL","PG","18.4","1.9","41.2","0.6","33.3","73.4","1.9","0.3","1.7","1.1","0.3"
"118","Willie Cauley-Stein","TOT","C","20.3","3.2","57.9","0","0","60.6","1.3","1.6","4.3","0.9","1.1"
"119","Willie Cauley-Stein","GSW","C","22.9","3.5","56","0","0","61.4","1.5","1.7","4.5","1.1","1.2"
"120","Willie Cauley-Stein","DAL","C","12.1","2.4","68.9","0","0","55.6","0.8","1","3.6","0.3","0.8"
"121","Tyson Chandler","HOU","C","8.4","0.5","77.8","0","0","46.2","0.2","1","1.6","0.2","0.3"
"122","Wilson Chandler","BRK","SF","21","2.1","40.4","1.1","30.6","87","1.1","0.3","3.8","0.5","0.3"
"123","Joe Chealey","CHO","PG","8.3","0","0","0","0","100","0.3","0","0","1","0"
"124","Zylan Cheatham","NOP","SF","12.8","1.5","66.7","0","0","0","0.8","0.8","1.5","0.3","0.3"
"125","Chris Chiozza","TOT","PG","14.3","2","39.3","1","37.5","100","3","0.3","1.6","0.8","0.1"
"126","Chris Chiozza","WAS","PG","12.3","1","29.4","0.7","43.8","0","2.8","0","1.5","1","0.2"
"127","Chris Chiozza","BRK","PG","15.4","2.5","42.5","1.1","35.7","100","3.1","0.5","1.6","0.6","0.1"
"128","Marquese Chriss","GSW","PF","20.3","3.6","54.5","0.1","20.5","76.9","1.9","1.9","4.3","0.7","1.1"
"129","Gary Clark","TOT","PF","13.5","1.3","40.6","0.9","35.1","90","0.4","0.9","1.7","0.1","0.5"
"130","Gary Clark","HOU","PF","11.8","1.3","39","1","35.3","85.7","0.7","0.6","1.6","0.1","0.4"
"131","Gary Clark","ORL","PF","14.8","1.3","41.9","0.9","35","100","0.2","1.1","1.8","0.2","0.6"
"132","Brandon Clarke","MEM","PF","22.4","5.1","61.8","0.4","35.9","75.9","1.4","1.6","4.4","0.6","0.8"
"133","Jordan Clarkson","TOT","SG","24","5.5","45.4","2.1","36.8","83.6","1.9","0.7","1.9","0.6","0.2"
"134","Jordan Clarkson","CLE","SG","23","5","44.2","2","37.1","88.4","2.4","0.7","1.7","0.6","0.3"
"135","Jordan Clarkson","UTA","SG","24.7","6","46.2","2.2","36.6","78.5","1.6","0.7","2.1","0.7","0.2"
"136","Nicolas Claxton","BRK","PF","12.5","1.8","56.3","0.1","14.3","52.4","1.1","1.3","1.7","0.1","0.5"
"137","Chris Clemons","HOU","SG","8.8","1.7","40.1","1.1","34.6","90.9","0.8","0.1","0.8","0.3","0.2"
"138","Antonius Cleveland","DAL","SG","4.2","0.4","28.6","0","0","60","0.1","0.2","0.5","0.1","0.3"
"139","Amir Coffey","LAC","SG","8.8","1.3","42.6","0.3","31.6","54.5","0.8","0.2","0.7","0.3","0.1"
"140","John Collins","ATL","PF","33.2","8.6","58.3","1.4","40.1","80","1.5","2.8","7.3","0.8","1.6"
"141","Zach Collins","POR","PF","26.4","2.9","47.1","0.6","36.8","75","1.5","2.3","4","0.5","0.5"
"142","Mike Conley","UTA","PG","29","4.9","40.9","2","37.5","82.7","4.4","0.7","2.5","0.8","0.1"
"143","Pat Connaughton","MIL","SG","18.6","2","45.5","0.8","33.1","77.5","1.6","0.9","3.3","0.4","0.5"
"144","Quinn Cook","LAL","PG","11.5","2.1","42.5","0.7","36.5","78.6","1.1","0.3","0.9","0.3","0"
"145","Tyler Cook","TOT","PF","4.2","0.6","66.7","0","0","87.5","0.1","0.5","0.6","0.2","0"
"146","Tyler Cook","CLE","PF","3.2","0.6","70","0","0","83.3","0.1","0.4","0.5","0.1","0"
"147","Tyler Cook","DEN","PF","9.5","0.5","50","0","0","100","0","1","1","1","0"
"148","Robert Covington","TOT","PF-C","30.5","4.4","42.2","2.3","33.5","79.8","1.3","0.9","5.7","1.6","1.3"
"149","Robert Covington","MIN","PF","29.4","4.5","43.5","2.3","34.6","79.8","1.2","0.8","5.2","1.7","0.9"
"150","Robert Covington","HOU","C","33","4","39.2","2.4","31.5","80","1.5","1.2","6.8","1.6","2.2"
"151","Allen Crabbe","TOT","SG","17.6","1.7","35.6","1","30.3","71.4","0.9","0.3","1.8","0.4","0.1"
"152","Allen Crabbe","ATL","SG","18.6","1.9","36.4","1.1","32.3","75","1","0.4","2","0.5","0.1"
"153","Allen Crabbe","MIN","SG","14.6","1.2","32.4","0.7","23.1","50","0.6","0.1","1.2","0","0"
"154","Torrey Craig","DEN","SF","18.5","2.1","46.1","0.8","32.6","61.1","0.8","1.1","2.2","0.4","0.6"
"155","Jamal Crawford","BRK","SG","6","2","50","1","50","0","3","0","0","0","0"
"156","Jae Crowder","TOT","SF","28.8","3.5","40.1","2.1","34.3","77.6","2.5","0.8","5.1","1.1","0.4"
"157","Jae Crowder","MEM","SF","29.4","3.3","36.8","1.7","29.3","78.9","2.8","0.9","5.3","1","0.3"
"158","Jae Crowder","MIA","SF","27.7","4","48.2","2.9","44.5","73.3","1.8","0.6","4.8","1.3","0.5"
"159","Jarrett Culver","MIN","SG","23.9","3.7","40.4","1","29.9","46.2","1.7","1.1","2.3","0.9","0.6"
"160","Seth Curry","DAL","SG","24.6","4.4","49.5","2.3","45.2","82.5","1.9","0.4","1.8","0.6","0.1"
"161","Stephen Curry","GSW","PG","27.8","6.6","40.2","2.4","24.5","100","6.6","0.8","4.4","1","0.4"
"162","Troy Daniels","TOT","SG","11.3","1.5","38.7","1","34.8","62.5","0.4","0.3","0.9","0.2","0.1"
"163","Troy Daniels","LAL","SG","11.1","1.5","39.2","1","35.7","62.5","0.3","0.3","0.8","0.2","0.1"
"164","Troy Daniels","DEN","SG","12.7","1.7","35.7","1","30","0","0.5","0","1","0.5","0"
"165","Anthony Davis","LAL","PF","34.4","8.9","50.3","1.2","33","84.6","3.2","2.3","7","1.5","2.3"
"166","Ed Davis","UTA","C","10.8","0.8","47.8","0","0","50","0.4","1.3","2.5","0.4","0.3"
"167","Terence Davis","TOR","SG","16.8","2.8","45.6","1.3","38.8","86.4","1.6","0.7","2.6","0.5","0.2"
"168","Dewayne Dedmon","TOT","C","17.6","2.3","40","0.5","20.6","83.3","0.5","1.4","4.3","0.6","0.9"
"169","Dewayne Dedmon","SAC","C","15.9","2","40.4","0.4","19.7","82.1","0.4","1.4","3.6","0.4","0.8"
"170","Dewayne Dedmon","ATL","C","23.3","3.3","39.3","0.8","22.2","87.5","0.7","1.4","6.8","1","1.5"
"171","Matthew Dellavedova","CLE","PG","14.4","1.1","35.4","0.4","23.1","86.5","3.2","0.3","1","0.4","0"
"172","DeMar DeRozan","SAS","SF","34.1","8.2","53.1","0.1","25.7","84.5","5.6","0.6","4.9","1","0.3"
"173","Cheick Diallo","PHO","C","10.2","2","64.8","0","33.3","87.2","0.5","0.6","2.1","0.2","0.3"
"174","Hamidou Diallo","OKC","SF","19.5","2.9","44.6","0.3","28.1","60.3","0.8","1","2.7","0.8","0.2"
"175","Gorgui Dieng","TOT","C","17.4","2.6","45.6","0.9","35.5","77.2","1.2","1.4","4.2","0.8","0.9"
"176","Gorgui Dieng","MIN","C","16.9","2.7","44.8","1","38.3","79.7","1.3","1.6","4","0.8","0.9"
"177","Gorgui Dieng","MEM","C","18.7","2.5","48.3","0.5","25","73.8","0.9","1.1","4.7","0.8","1"
"178","Spencer Dinwiddie","BRK","SG","31.2","6.6","41.5","1.9","30.8","77.8","6.8","0.5","3","0.6","0.3"
"179","Donte DiVincenzo","MIL","SG","23","3.5","45.5","1.3","33.6","73.3","2.3","1","3.8","1.3","0.3"
"180","Luka Dončić","DAL","PG","33.6","9.5","46.3","2.8","31.6","75.8","8.8","1.3","8.1","1","0.2"
"181","Luguentz Dort","OKC","SG","22.8","2.4","39.4","0.8","29.7","79.2","0.8","0.7","1.6","0.9","0.1"
"182","Damyean Dotson","NYK","SG","17.4","2.5","41.4","1.2","36.2","66.7","1.2","0.2","1.7","0.5","0.1"
"183","Sekou Doumbouya","DET","SF","19.8","2.4","39","0.7","28.6","67.4","0.5","0.5","2.6","0.5","0.2"
"184","PJ Dozier","DEN","PG","14.2","2.2","41.4","0.6","34.7","72.4","2.2","0.3","1.6","0.5","0.2"
"185","Goran Dragić","MIA","PG","28.2","5.4","44.1","2.1","36.7","77.6","5.1","0.5","2.7","0.7","0.2"
"186","Andre Drummond","TOT","C","33","7.3","53.3","0.1","14.3","57.5","2.7","4.4","10.8","1.9","1.6"
"187","Andre Drummond","DET","C","33.8","7.3","53","0","4.8","58.4","2.8","4.6","11.2","2","1.7"
"188","Andre Drummond","CLE","C","28.1","7.3","55.2","0.5","28.6","51.3","1.8","3","8.1","1.5","1.4"
"189","Jared Dudley","LAL","SF","8.1","0.5","40","0.4","42.9","100","0.6","0.1","1","0.3","0.1"
"190","Kris Dunn","CHI","PG","24.9","3","44.4","0.6","25.9","74.1","3.4","0.5","3.2","2","0.3"
"191","Carsen Edwards","BOS","SG","9.5","1.1","32.8","0.6","31.6","68.4","0.6","0.2","1.1","0.3","0.1"
"192","Henry Ellenson","BRK","PF","3","0.2","14.3","0","0","0","0.2","0.4","0.8","0","0"
"193","Wayne Ellington","NYK","SG","15.5","1.7","35.1","1.4","35","84.6","1.2","0.1","1.7","0.4","0.1"
"194","Joel Embiid","PHI","C","29.5","7.5","47.7","1.1","33.1","80.7","3","2.8","8.9","0.9","1.3"
"195","James Ennis","TOT","SF","18.3","2.3","44.6","0.8","32.5","80.6","0.9","1","2.5","0.5","0.3"
"196","James Ennis","PHI","SF","15.8","2","44.2","0.8","34.9","78.7","0.8","1","2.1","0.5","0.3"
"197","James Ennis","ORL","SF","24.5","3","45.1","0.9","28.6","83.8","1.1","1.2","3.6","0.6","0.4"
"198","Drew Eubanks","SAS","PF","12.4","2","64.2","0","100","76.9","0.7","1.3","2.6","0.2","0.8"
"199","Jacob Evans","TOT","SG","14.4","1.6","33.6","0.4","33.3","86.2","1.1","0.3","1.1","0.4","0.4"
"200","Jacob Evans","GSW","SG","15.3","1.7","33.8","0.5","34.2","86.2","1.1","0.3","1.2","0.4","0.4"
"201","Jacob Evans","MIN","SG","2","0","0","0","0","0","0","0","0","0","0"
"202","Dante Exum","TOT","SG","13.9","1.6","47.1","0.4","34.9","74.4","1.1","0.3","1.6","0.4","0.2"
"203","Dante Exum","UTA","SG","7.5","0.9","43.5","0.2","33.3","100","0.6","0.3","0.8","0.1","0.2"
"204","Dante Exum","CLE","SG","16.8","1.9","47.9","0.5","35.1","73.2","1.4","0.4","1.9","0.5","0.3"
"205","Tacko Fall","BOS","C","4.7","1.6","78.6","0","0","33.3","0.1","0.1","2","0.1","0.6"
"206","Derrick Favors","NOP","C","24.4","4.1","61.7","0","14.3","56.3","1.6","3.2","6.6","0.6","0.9"
"207","Cristiano Felício","CHI","PF","17.5","1.5","63","0","0","78.3","0.7","2.5","2.1","0.5","0.1"
"208","Terrance Ferguson","OKC","SF","22.4","1.4","35.5","0.9","29.2","75","0.9","0.4","0.9","0.5","0.3"
"209","Bruno Fernando","ATL","C","12.7","1.8","51.8","0.1","13.5","56.9","0.9","1.2","2.3","0.3","0.3"
"210","Yogi Ferrell","SAC","PG","10.6","1.6","42","0.5","30.4","85.7","1.4","0.1","0.9","0.4","0.1"
"211","Dorian Finney-Smith","DAL","PF","29.9","3.4","46.6","1.6","37.6","72.2","1.6","2","3.7","0.6","0.5"
"212","Bryn Forbes","SAS","SG","25.1","3.8","41.7","2.3","38.8","83.3","1.7","0.2","1.8","0.5","0"
"213","Evan Fournier","ORL","SG","31.5","6.6","46.7","2.6","39.9","81.8","3.2","0.3","2.3","1.1","0.2"
"214","De'Aaron Fox","SAC","PG","32","7.7","48","1.1","29.2","70.5","6.8","0.7","3.2","1.5","0.5"
"215","Melvin Frazier","ORL","SG","6.6","0.8","44.1","0.4","50","50","0.2","0.1","0.4","0.5","0.1"
"216","Michael Frazier","HOU","SG","11.2","0.5","24.1","0.3","17.4","64.3","0.2","0.1","0.7","0.2","0"
"217","Tim Frazier","DET","PG","13.1","1.3","36.2","0.4","33.3","79.2","3.4","0.3","0.9","0.5","0.1"
"218","Markelle Fultz","ORL","PG","27.7","5","46.5","0.5","26.7","73","5.1","0.6","2.7","1.3","0.2"
"219","Wenyen Gabriel","TOT","PF","7.8","0.7","43.8","0.2","30","68.2","0.3","0.7","1","0.4","0.2"
"220","Wenyen Gabriel","SAC","PF","5.5","0.5","35.3","0.1","12.5","60","0.3","0.4","0.5","0.3","0.2"
"221","Wenyen Gabriel","POR","PF","9.2","0.8","48.4","0.3","41.7","75","0.3","0.9","1.3","0.4","0.3"
"222","Daniel Gafford","CHI","C","14.2","2.2","70.1","0","0","53.3","0.5","1.2","1.3","0.3","1.3"
"223","Danilo Gallinari","OKC","PF","29.6","5.8","43.8","2.9","40.5","89.3","1.9","0.5","4.6","0.7","0.1"
"224","Langston Galloway","DET","SG","25.8","3.6","43.5","2","39.9","85.9","1.5","0.5","1.8","0.7","0.2"
"225","Darius Garland","CLE","PG","30.9","4.7","40.1","1.8","35.5","87.5","3.9","0.5","1.4","0.7","0.1"
"226","Marc Gasol","TOR","C","26.4","2.7","42.7","1.3","38.5","73.5","3.3","0.7","5.5","0.8","0.9"
"227","Rudy Gay","SAS","PF","21.8","4","44.6","1.1","33.6","88.2","1.7","0.9","4.5","0.5","0.5"
"228","Paul George","LAC","SF","29.6","7.1","43.9","3.3","41.2","87.6","3.9","0.5","5.2","1.4","0.4"
"229","Taj Gibson","NYK","C","16.5","2.7","58.4","0.1","28.6","73.2","0.8","1.8","2.5","0.4","0.5"
"230","Harry Giles","SAC","PF","14.5","3","55.4","0","0","77.6","1.3","0.9","3.2","0.5","0.4"
"231","Shai Gilgeous-Alexander","OKC","SG","34.7","6.8","47.1","1.2","34.7","80.7","3.3","0.7","5.2","1.1","0.7"
