"","Player","Tm","Pos","MP","FG","FGP","X3P","X3PP","FTP","AST","ORB","DRB","STL","BLK"
"401","Glenn Robinson III","SAC","SF","15.7","1.8","43","0.7","37.2","91.3","0.9","0.3","1.3","0.1","0.1"
"402","Jerome Robinson","WAS","SG","17","1.7","32.8","0.7","29","88.2","1.4","0.2","2.4","0.5","0.2"
"403","Mitchell Robinson","NYK","C","28.8","3.8","66","0","0","47.8","0.5","3.6","4.8","1.2","1.5"
"404","Isaiah Roby","OKC","PF","20.2","3.4","54","0.5","31.4","69","1.5","1.6","3.5","0.7","0.6"
"405","Rajon Rondo","ATL","PG","15.3","1.4","34.5","0.6","30.8","50","3.9","0.3","2","0.6","0.1"
"406","Derrick Rose","TOT","PG","22.3","5","42.7","0.8","33.3","84.1","4","0.4","1.8","1.2","0.4"
"407","Derrick Rose","DET","PG","22.8","5.3","42.9","0.9","33.3","84","4.2","0.4","1.5","1.2","0.3"
"408","Derrick Rose","NYK","G","20.6","4.2","42","0.6","33.3","84.6","3.4","0.2","2.6","1","0.6"
"409","Terrence Ross","ORL","SG","28.8","5.5","41.4","2","34.6","89.2","2.1","0.3","2.9","1","0.5"
"410","Terry Rozier","CHO","SG","33.3","7.5","49","3.4","44.5","79.5","3","0.6","3.5","1.3","0.5"
"411","Ricky Rubio","MIN","PG","25.1","2.5","37","0.6","27.6","83","6.5","0.4","3","1.3","0"
"412","D'Angelo Russell","MIN","PG","29.2","7","42.6","3","39.9","75","5.1","0.5","2.2","1.1","0.5"
"413","Domantas Sabonis","IND","PF","36.4","8.2","52.8","1","35.8","71","5.7","2.8","8.8","1","0.7"
"414","Luka Šamanić","SAS","PF","2.8","0.5","33.3","0.5","66.7","50","0","0","0","0","0"
"415","JaKarr Sampson","IND","PF","6","0.8","44","0","0","80","0","0.5","1.5","0.1","0.2"
"416","Dario Šarić","PHO","PF","18.1","3.5","43.8","1.1","31.4","95.8","1.2","0.7","3.3","1","0.2"
"417","Tomáš Satoranský","CHI","SG","20","2.3","49.3","0.7","44","90.5","4.9","0.3","2.4","0.6","0.2"
"418","Dennis Schröder","LAL","SG","31.1","5.1","44.1","1","31.1","82","4.3","0.6","3","0.9","0.2"
"419","Mike Scott","PHI","PF","17.5","1.5","33.3","1","28.9","66.7","0.1","0.4","2.3","0.3","0.2"
"420","Collin Sexton","CLE","SG","35.3","8.4","48.4","1.5","40.7","80.5","4.3","0.8","1.8","1.1","0.2"
"421","Landry Shamet","BRK","SG","19","2.3","37.7","1.6","34.7","87.9","1.3","0.2","1.3","0.5","0.2"
"422","Pascal Siakam","TOR","PF","35.8","7.6","45.5","1.2","29.8","79.7","4.5","2.2","5.6","1.2","0.6"
"423","Chris Silva","MIA","PF","8.8","1","66.7","0.2","100","83.3","1","1.2","1.8","0.2","0.3"
"424","Ben Simmons","PHI","PG","33.4","5.8","56.2","0","16.7","66.7","8","1.6","6.7","1.7","0.8"
"425","Anfernee Simons","POR","SG","17.9","3","41.3","2.2","42","82.6","1.2","0.2","2.1","0.2","0.2"
"426","Deividas Sirvydis","DET","SG","1.3","0","0","0","0","0","0.3","0","0","0","0"
"427","Marcus Smart","BOS","PG","32.3","4.4","39.4","1.6","31.1","74.2","6.1","0.4","2.4","1.8","0.5"
"428","Dennis Smith Jr.","TOT","PG","12.1","1.6","33.3","0.3","16.7","80","1.6","0.3","0.9","0.4","0.1"
"429","Dennis Smith Jr.","NYK","PG","9.3","0.7","20","0","0","83.3","1","0","0.7","1","0"
"430","Dennis Smith Jr.","DET","G","14.3","2.3","39.1","0.5","25","75","2","0.5","1","0","0.3"
"431","Ish Smith","WAS","PG","20.6","2.3","37.9","0.3","25","40","4.7","0.5","2.9","0.8","0.2"
"432","Jalen Smith","PHO","PF","6.3","0.8","35.3","0.3","28.6","0","0.3","0.6","0.6","0","0.3"
"433","Tony Snell","ATL","SG","12.9","1.1","40","0.9","48.3","0","0.9","0.4","1.2","0.1","0.1"
"434","Ray Spalding","HOU","F","9.5","1","50","0","0","0","0","1","1","0","1"
"435","Cassius Stanley","IND","SG","2.9","0.3","28.6","0.1","50","80","0","0.3","0.1","0","0.3"
"436","Lamar Stevens","CLE","PF","14.7","1.7","40.3","0.1","13.3","66.7","1.1","0.4","2.2","0.4","0.3"
"437","Isaiah Stewart","DET","C","17.9","2.2","52.3","0","25","70","0.7","2.5","2.9","0.5","0.9"
"438","Max Strus","MIA","SF","14.7","2.6","51.9","1.7","42.2","77.8","0.5","0.1","1","0.1","0"
"439","Edmond Sumner","IND","SG","9.4","1.5","50","0.3","31.3","64.3","0.5","0.4","0.9","0.5","0.1"
"440","Jae'Sean Tate","HOU","SF","27.3","4","54.9","0.7","32.8","71.7","1.8","1.6","3.4","0.9","0.6"
"441","Jayson Tatum","BOS","SF","35.2","9.3","44.9","2.7","38.9","88.6","4.7","0.6","6.4","1.3","0.4"
"442","Jeff Teague","BOS","PG","17.3","1.8","32.3","0.7","42.1","90","2","0.3","1.3","0.9","0.1"
"443","Garrett Temple","CHI","SG","27.5","3.2","42.6","1.5","36","81.5","2","0.5","2.6","1.1","0.5"
"444","Tyrell Terry","DAL","PG","5.1","0.5","31.3","0","0","33.3","0.5","0","0.5","0.5","0"
"445","Daniel Theis","BOS","C","24","3.7","57.1","0.9","39.7","68.3","1.4","1.3","3.8","0.6","1"
"446","Brodric Thomas","HOU","SG","6","0.5","28.6","0.3","16.7","71.4","1","0.3","0.8","0.3","0.3"
"447","Matt Thomas","TOR","SG","6","0.8","39.3","0.6","42.9","100","0.4","0.1","0.6","0.1","0"
"448","Tristan Thompson","BOS","PF","22.5","2.8","50.7","0","0","61.1","0.8","2.9","5.4","0.3","0.3"
"449","Sindarius Thornwell","NOP","SG","5.1","0.5","41.7","0.3","50","0","0.2","0.1","0.2","0.4","0"
"450","Matisse Thybulle","PHI","SG","17.7","1.2","38.6","0.6","28.8","50","0.8","0.3","1","1.6","0.8"
"451","Xavier Tillman Sr.","MEM","PF","21.2","3.4","54.6","0.5","37.5","75","1.6","1.4","3.1","1","0.6"
"452","Obi Toppin","NYK","PF","12","2","48.2","0.6","29.7","70","0.5","0.3","2.2","0.2","0.5"
"453","Juan Toscano-Anderson","GSW","SG","21.8","2.6","56","0.7","42.3","71.4","2.3","0.8","4","0.6","0.7"
"454","Karl-Anthony Towns","MIN","C","33.1","7.7","50.7","2","42.9","93","3.3","3.1","7.4","1","1.9"
"455","Gary Trent Jr.","POR","SG","30.2","5.5","44","3.2","44.7","78.4","1.4","0.5","1.6","0.7","0.2"
"456","P.J. Tucker","HOU","PF","30","1.6","37.5","0.9","32.9","82.4","1.4","1","3.6","0.8","0.5"
"457","Myles Turner","IND","C","31.2","4.7","49.8","1.4","32.5","77.6","1","1.3","5.3","1.1","3.5"
"458","Jonas Valančiūnas","MEM","C","27.5","6.5","58.5","0.4","38.1","75.3","2.1","3.2","7.6","0.6","0.8"
"459","Denzel Valentine","CHI","SG","20.1","3.2","38.8","1.9","37.7","100","1.8","0.3","3.6","0.7","0"
"460","Jarred Vanderbilt","MIN","PF","19.1","2.5","60.2","0","50","51","1.7","1.9","4.1","1.1","0.7"
"461","Fred VanVleet","TOR","SG","36.4","6.9","41.7","3.3","37.7","89.2","6.6","0.7","3.5","1.7","0.7"
"462","Devin Vassell","SAS","SF","17.3","1.9","39.7","1","39.7","85.7","1.1","0.6","2.6","1.1","0.3"
"463","Gabe Vincent","MIA","PG","16.2","2.3","35.3","0.9","23.9","88.2","1.5","0.2","1","0.4","0.1"
"464","Noah Vonleh","BRK","F","2.7","0","0","0","0","0","0.3","0","0.3","0","0"
"465","Nikola Vučević","ORL","C","33.6","9.3","47.6","2.6","41.4","81.6","3.4","2.1","9.5","1.1","0.6"
"466","Dean Wade","CLE","PF","8.3","0.7","34.7","0.5","33.3","80","0.4","0.3","0.9","0.2","0.1"
"467","Moritz Wagner","WAS","C","13.6","2.3","59.3","0.4","33.3","64","0.9","0.4","2.6","0.6","0.3"
"468","Kemba Walker","BOS","PG","28","5.5","36.4","2.6","35.8","90.2","4","0.5","3.2","1.1","0.2"
"469","Lonnie Walker","SAS","SG","26.6","4","40.6","1.6","35.5","80","1.7","0.2","2.7","0.5","0.4"
"470","John Wall","HOU","PG","31.1","7.4","44.1","2.1","35.1","74.4","6.3","0.5","3.2","1","0.7"
"471","Brad Wanamaker","GSW","PG","16","1.3","33.6","0.3","22.2","88.4","2.7","0.2","1.6","0.8","0.1"
"472","T.J. Warren","IND","SF","29.3","6.8","52.9","0","0","80","1.3","0.5","3","0.5","0"
"473","P.J. Washington","CHO","PF","28.8","4","42","1.1","32.9","73.8","3","1.7","4.9","0.9","1.3"
"474","Yuta Watanabe","TOR","SF","12.4","1","35.3","0.7","42.9","100","0.4","0.9","2.4","0.5","0.6"
"475","Tremont Waters","BOS","PG","10","0.7","22.2","0.3","25","87.5","2.8","0.2","0.7","0.6","0"
"476","Paul Watson","TOR","SF","3.2","0.7","64.3","0.6","72.7","0","0.2","0.1","0.6","0","0.2"
"477","Quinndary Weatherspoon","SAS","SG","4.8","0.2","20","0","0","100","0.6","0","0.4","0.2","0"
"478","Russell Westbrook","WAS","PG","33.2","7.3","40.6","1.2","29.5","61.9","9.5","1.8","7.6","0.8","0.4"
"479","Coby White","CHI","PG","33.5","5.6","40.3","2.4","35","86.7","5.4","0.3","4.4","0.4","0.1"
"480","Derrick White","SAS","SG","23.6","4.3","39.5","1.9","34.1","73.3","3.9","0.1","1.6","1","1"
"481","Hassan Whiteside","SAC","C","14.8","3.5","61.9","0","0","52.9","0.5","1.6","4.1","0.3","1.4"
"482","Andrew Wiggins","GSW","PF","32.2","6.7","46.8","1.9","37.3","67","2.1","1","3.7","0.7","1.3"
"483","Grant Williams","BOS","PF","19.3","1.9","45.1","0.9","41.5","51.7","1","1","2","0.5","0.4"
"484","Kenrich Williams","OKC","PF","18.3","2.3","53.7","0.5","44.1","63.2","1.7","1.4","2.5","0.8","0.2"
"485","Lou Williams","LAC","PG","22.4","4.4","42.3","1.1","38","85.4","3.9","0.4","2","0.8","0.1"
"486","Patrick Williams","CHI","PF","27.7","3.7","45.5","0.9","39.7","79.7","1.1","0.9","3.7","0.7","0.7"
"487","Robert Williams","BOS","C","15.1","2.7","72.7","0","0","66.7","0.8","2.2","3.1","1","1.1"
"488","Zion Williamson","NOP","PF","32.6","9.6","61.8","0.2","37.5","71.8","3.1","2.4","4.4","1","0.7"
"489","D.J. Wilson","MIL","PF","9.4","1.4","37.8","0.8","34.8","50","0.3","0.3","1.9","0.1","0.3"
"490","Dylan Windler","CLE","SF","17.5","2.1","47.7","0.9","31","88.2","1.2","0.7","3","0.6","0.5"
"491","Cassius Winston","WAS","PG","7.3","0.7","40","0.5","42.9","100","1","0","0.7","0","0.2"
"492","James Wiseman","GSW","C","21","4.9","50.3","0.5","40.9","62.3","0.7","1.5","4.6","0.4","1.3"
"493","Christian Wood","HOU","C","31.2","8.8","55.8","1.9","42.1","68.8","1.3","1.8","8.4","0.9","1.5"
"494","Robert Woodard","SAC","SF","2.8","1","54.5","0.2","33.3","0","0","0.5","0.8","0","0"
"495","Delon Wright","DET","SG","29.4","3.7","45.6","0.9","35.3","78.5","4.9","1.1","3.5","1.4","0.5"
"496","Thaddeus Young","CHI","PF","25.7","5.1","58.7","0.2","23.8","50","4.4","2.4","3.4","1.4","0.5"
"497","Trae Young","ATL","PG","34.7","7.6","42.9","2.3","36.9","88.7","9.3","0.7","3.2","0.8","0.3"
"498","Cody Zeller","CHO","C","24.1","4.2","52.5","0.2","18.8","75.9","2.5","2.6","5.4","0.7","0.6"
"499","Ivica Zubac","LAC","C","19.5","3.2","66.9","0","0","84.5","1.1","2.3","4.4","0.4","0.8"
